Serial,Year,Startup,Industry Vertical,Location,Investors,InvestmentType,Amount
2560,2017,CoveIoT,Technology,Bangalore,"Titan Co Ltd, Tata Group’s watch and jewellery retailing firm",Private Equity,"50,00,000"
2561,2017,TalentEdge,Technology,Bangalore,Lumis Partners,Private Equity,"76,00,000"
2562,2017,Fisdom,Finance,Bangalore,Quona Capital Management,Private Equity,"30,00,000"
2563,2017,FarmLink,eCommerce,Mumbai,"Pioneering Ventures, Syngenta AG",Private Equity,"30,00,000"
2564,2017,OpenApp,Technology,Bangalore,"Axilor Ventures, Kumar Vembu",Private Equity,"36,00,000"
2565,2017,NoPaperForms,Technology,Delhi,Info Edge,Seed Funding,"8,72,000"
2566,2017,Tilite Technologies Pvt. Ltd,Technology,Bangalore,Matrix Partners,Seed Funding,NA
2567,2017,Mobiliz AR,Technology,Bangalore,"IDG Ventures, IDFC-Parampara Fund",Private Equity,NA
2568,2017,Qubole,Technology,Bangalore,"Singtel, Innov8, Harmony Partners",Private Equity,"2,50,00,000"
2569,2017,Happily Unmarried,ECommerce,Nw Delhi,Wipro Consumer Care,Private Equity,NA
2570,2017,Universal Sportsbiz Pvt. Ltd,ECommerce,Mumbai,Accel Partners,PrivateEquity,"1,50,00,000"
2571,2017,Hungry Foal,Ecommerce,Gurgaon,GAIL India Ltd,Seed Funding,NA
2572,2017,Active AI,Technology,Bangalore,Vertex Ventures,Private Equity,"82,50,000"
2573,2017,Sumeru,Technology,Bangalore,Undisclosed Investors,Seed Funding,"9,00,000"
2574,2017,ElderAid Wellness,Health Care,Bangalore,Rugmini Menon,Angel Funding,NA
2575,2017,Omnia Information,Technology,Delhi,Omidyar Network,Private Equity,"30,00,000"
2576,2017,Josh Talks,Inspiration,Gurgaon,"Girish Mathrubootham, Apurva Chamaria, Rohit Chanana",Private Equity,NA
2577,2017,Reniso,Technology,New Delhi,"Nishit Sharma, Alok Srivastava",Seed Funding,NA
2578,2017,Kanhaiya,Inspiration,Hyderabad,Undisclosed Investors,Seed/Angel Funding,"2,00,000"
2579,2017,Perspectico,Technology,Delhi,"SSCBS Innovation, Incubation Foundation (SIIF)",Seed/Angel Funding,NA
2580,2017,ONN Bikes,Technology,Mumbai,Z Nation Lab,Seed/Angel Funding,"6,92,000"
2581,2017,Rapido,Technology,Hyderabad,"Skycatcher Fund, Aravind Sanka",Seed/Angel Funding,"3,29,230"
2582,2017,Heckyl,Technology,Mumbai,"Notion Capital, IDG Ventures",Private Equity,"27,00,000"
2583,2017,Nuvepro,Technology,Mumbai,1Crowd,Seed/Angel Funding,"4,00,000"
2584,2017,RedBook,Technology,Mumbai,"Vida Ventures, Dr. Aniruddha Malpani",Seed/Angel Funding,"2,50,000"
2585,2017,Portea,Healthcare,Bangalore,"Sabre Partners, MEMG CDC",Private Equity,"2,60,00,000"
2586,2017,Credit Mate,Technology,Mumbai,Paytm,Private Equity,NA
2587,2017,Epiq Capital,Finance,Mumbai,Global Institutional Investors,Private Equity,"20,00,00,000"
2588,2017,MiStay,Technology,Bangalore,Axilor Ventures,Seed/Angel Funding,NA
2589,2017,WittyFeed,Storytelling,Indore,Sandeep Aggarwal,Seed/Angel Funding,NA
2590,2017,IDG Ventures,Finance,Bangalore,Uniliver Ventures,Private Equity,"1,00,00,000"
2591,2017,TempGo,Technology,Goa,Javelin StartupO Victory Fund,Seed/Angel Funding,"2,50,000"
2592,2017,Edelweiss,Finance,Mumbai,Undisclosed investors,Private Equity,"27,00,00,000"
2593,2017,ERA,Technology,Mumbai,Amit Patni,Seed/Angel Funding,"39,000"
2594,2017,Smaaash,Technology,Mumbai,Sixth Sense Ventures,Private Equity,"38,00,000"
2595,2017,Chumbak,Lifestyle,Bangalore,Gaja Capital,Private Equity,"1,30,00,000"
2596,2017,FR8,Technology,Chennai,IFMR Capital,Debt Funding,"15,00,000"
2597,2017,MobieFit,Healthcare,Goa,"NB Ventures, MediAssist",Seed/Angel Funding,"13,50,000"
2598,2017,Stanza Living,Technology,Delhi,"Matrix PArtners, Accel",Private Equity,"20,00,000"
2599,2017,Strata Enviro,Technology,Mumbai,Scale Minds,Private Equity,NA
2600,2017,Dunzo,Technology,Bangalore,Google,Private Equity,"1,23,00,000"
2601,2017,Tata Housing,Real Estate,Mumbai,Hines,Private Equity,"2,30,00,000"
2602,2017,HandyTrain,Technology,Goa,NB Ventures,Private Equity,"10,00,000"
2603,2017,Mobycy,Technology,Gurgaon,Undisclosed Investors,Seed/Angel Funding,"5,00,000"
2604,2017,Greenlight Planet,Technology,Mumbai,"Apis Partner, Eight Roads Ventures, Bamboo Capital Partners",Private Equity,"6,00,00,000"
2605,2017,Fintobox,Technology,Chennai,Lightbox,Private Equity,"70,00,000"
