Serial,Year,Startup,Industry Vertical,Location,Investors,InvestmentType,Amount
260,2015,WorkHorse,Service-On-Demand Mobile App,Mumbai,Undisclosed Investors,Seed Funding,NA
261,2015,Innovaccer,Intelligent Data Analytics,Noida,"Rajan Anandan, Teru Sato, Aneesh Reddy, Venkatesh Valluri",Seed Funding,NA
262,2015,MyCuteOffice,Online Office Rental,Mumbai,Lead Angels,Seed Funding,NA
263,2015,IndianRoots.com,Lifestyle Ecommerce Portal,Gurgaon,KJS Group,Private Equity,"50,00,000"
264,2015,RedPolka,Online Fashion Aggregator,Mumbai,Undisclosed Investors,Seed Funding,"2,50,000"
265,2015,Venturesity,Online Job skills Showcase,Bangalore,"Phanindra Sama, Jay Sethuram, Hemant Kanakia, Ravi Trivedi",Seed Funding,"2,70,000"
266,2015,TheBetterIndia.com,Online News Media,Bangalore,Mohandas Pai,Seed Funding,NA
267,2015,Awaaz De,Enterprise Communication Platform,Ahmedabad,Samir Shah,Seed Funding,NA
268,2015,Chaayos,Offline Tea Chain,New Delhi,Tiger Global Management,Private Equity,"10,00,000"
269,2015,Akosha,Business Messaging App,New Delhi,Sequoia Capital,Private Equity,"1,60,00,000"
270,2015,Cooey,Health Mobile App,Bangalore,Subhash Goyal,Seed Funding,"4,70,000"
271,2015,MeetUniv,Online Ed-Tech Platform,Noida,Peesh Venture Capital,Seed Funding,"10,00,000"
272,2015,Inspirock,Online Travel Planning,NA,MakeMyTrip Innovation Fund,Private Equity,NA
273,2015,Crown-it,Hyperlocal Mobile Marketplace,Gurgaon,"Accel Partners, Helion Venture Partners",Private Equity,"55,00,000"
274,2015,Trucksfirst,Trucking Logistic Operations,Gurgaon,SAIF partners,Private Equity,"1,00,00,000"
275,2015,Lookup,B2C Messaging App,Bangalore,Biz Stone,Private Equity,"30,00,000"
276,2015,SunTerrace,Rooftop Solar Plants,New Delhi,Sunergy Investors,Private Equity,NA
277,2015,Nudgespot,Customer Engagement Platform,Bangalore,"Kae Capital, Anoop Goyal, Mike Shah, VA Sastry",Seed Funding,"6,25,000"
278,2015,CarDekho,Online Car Portal,Jaipur,HDFC Bank,Private Equity,NA
279,2015,EveningFlavors,Online Table Reservation,Bangalore,Sandiep Shrivatsava,Seed Funding,"5,00,000"
280,2015,Razorpay,Online Payment Gateway,Bangalore,Punit Soni,Seed Funding,NA
281,2015,ZenParent,Parents focused Web Content,Bangalore,i2india Ventures,Seed Funding,"5,00,000"
282,2015,Newgen Payments,Payments Solution Provider,New Delhi,Jan Manten,Seed Funding,NA
283,2015,UrbanPro,On-demand Service marketplace,Bangalore,Nirvana Venture Advisors,Private Equity,"20,00,000"
284,2015,Goodbox,On-Demand Business messaging,Bangalore,Manipal Group,Seed Funding,"2,00,000"
285,2015,Renderlogy,Online Home Décor,Hyderabad,Astarc Ventures,Private Equity,"10,00,000"
286,2015,Postman,API Workflow platform,Bangalore,Nexus Venture Partners,Seed Funding,"10,00,000"
287,2015,Casa2inns,Affordable Hotel Booking Online,New Delhi,"Accel Partners, Kalaari Capital",Private Equity,"50,00,000"
288,2015,FleetRover,Logistics Intelligence,Goa,"Tim Chen, Sanjay Venkat",Seed Funding,"1,80,000"
289,2015,TheKarrier,Last Mile Logistics,Bangalore,"Sol Primero, Outbox Ventures, Nikunj Jain",Seed Funding,"2,40,000"
290,2015,Zoomcar,Self-driven Car rental,Bangalore,Sequoia Capital,Private Equity,"50,00,000"
291,2015,Truweight,Weight Management Service,Hyderabad,Kalaari Capital,Private Equity,NA
292,2015,Ather Energy,Electric Scooter Manufacturer,Bangalore,Tiger Global,Private Equity,"1,20,00,000"
293,2015,Vyomo,Beauty and Wellness Platform,New Delhi,Aprameya Radhakrishna,Seed Funding,NA
294,2015,Veeba Foods,Healthy Food Manufacturer,New Delhi,"DSG Consumer Partners, Saama Capital.",Private Equity,"60,00,000"
295,2015,Truebil,Used Car Marketplace,Mumbai,"Kae Capital, Anupam Mittal",Seed Funding,"5,00,000"
296,2015,Meritnation,Online Learning Platform,New Delhi,InfoEdge,Private Equity,"40,00,000"
297,2015,Eattreatonline,Healthy Food Online Community,New Delhi,Group of 15 Angel Investors,Seed Funding,"3,50,000"
298,2015,CredR,Used two-wheeler Marketplace,Mumbai,GrowthStory,Seed Funding,NA
299,2015,Glamrs,Online Fashion Video Portal,Mumbai,"Ventureworks India, Blume Ventures, Batlivala & Karani Securities, Nikunj Jhaveri",Private Equity,"10,00,000"
300,2015,Proviera,Probiotic Technology Products Manufacturer,Chennai,Infuse Ventures,Private Equity,"5,50,000"
301,2015,Arth DesignBuild,Architectural Design & Consulting,Hyderabad,Srinivas Tirupati,Seed Funding,"5,00,000"
302,2015,Saama,Big Data & Analytics Services,Pune / US,Carrick Capital Partners,Private Equity,"3,50,00,000"
303,2015,AllIzHealth,Preventive Healthcare Services,Pune,Mumbai Angels & Other angel investors,Seed Funding,"3,50,000"
304,2015,Karma Healthcare,Tech-enabled Rural Healthcare Services,Udaipur,Ennovent Impact Investment Holding,Private Equity,NA
305,2015,Entropy Innovations,Engineering Innovations,Mumbai,Mark Mobius & 9 Other Angel investors,Seed Funding,NA
306,2015,Propstack,Real Estate Intelligence Platform,Mumbai,DMG Information,Private Equity,"30,00,000"
307,2015,MyTaxiIndia,Online Car Rental Affiliates,New Delhi,Green House Ventures,Seed Funding,"1,00,000"
308,2015,Arkin Net,Data Center Software platform,Pune / US,Nexus Venture Partners,Private Equity,"1,50,00,000"
309,2015,Little Black Book Delhi,Online City & Lifestyle Guide,New Delhi,"Rajan Anandan, Niraj Singh, Sachin Bhatia, Singapore Angel Network & Aseem Vadehra",Seed Funding,"1,50,000"
310,2015,MyPoolin,P2P Payments platform,New Delhi,"Sharad Sharma, Rajan Anandan, Sunil Kalra, Amit Ranjan, Rohan Malhotra,  Arjun Malhotra, Gautam Gandhi",Seed Funding,NA
311,2015,iCustomadeit,Bespoke Merchandize Marketplace,Pune,"Virendra Shahney, Dr Paresh Doshi",Seed Funding,"2,50,000"
312,2015,KAARYAH,Women Lifestyle Marketplace,Gurgaon,Ratan Tata,Seed Funding,NA
313,2015,Ecom Express,Logistics Solution Provider,New Delhi,Warburg Pincus,Private Equity,"13,70,00,000"
314,2015,Vidooly,Video Intelligence Platform,Noida,Bessemer Venture Partners,Private Equity,"10,00,000"
315,2015,Zopper,Hyperlocal Shopping App,Mumbai,"Tiger Global,  Nirvana Ventures Advisors",Private Equity,"2,00,00,000"
316,2015,Flipkart,eCommerce platform,Bangalore,Morgan Stanley,Private Equity,"5,00,00,000"
317,2015,kWatt Solutions,Renewable energy solutions,Mumbai,NA,Seed Funding,"5,00,000"
318,2015,Medwell Ventures,HealthcareService provider,Bangalore,"Fidelity Growth Partners, Fidelity Biosciences",Private Equity,"1,00,00,000"
319,2015,Jugnoo,Auto Rickshaw Based Services,Chandigarh,"Snow Leopard, Paytm",Private Equity,"50,00,000"
320,2015,PosterGully,Artist / Designer Marketplace,New Delhi,"Natarajan Iyer,Rajesh Sawhney,  & other Angel investors.",Seed Funding,NA
321,2015,Applied Solar Technologies,Off-grid Solar Power,Mumbai,"Future Fund,Bessemer Venture, Capricorn Investment and IFC",Private Equity,"4,00,00,000"
322,2015,Clovia,Private Label lingerie Ecommerce,New Delhi,IvyCap Ventures,Private Equity,"50,00,000"
323,2015,Swiggy,Online Food Ordering,Bangalore,"Norwest Venture Partners, SAIF Partners, Accel Partners",Private Equity,"1,65,00,000"
324,2015,PayMango,Mobile Commerce Platform,Gurgaon,Group of Angel Investors,Seed Funding,"2,34,000"
325,2015,Printland,Online Printing Services,New Delhi,SIDBI Venture Capital Ltd,Private Equity,NA
326,2015,Teritree,Digital Marketing Services,Bangalore,KCL,Seed Funding,"1,40,000"
327,2015,Guiddoo,Travel Guide Mobile App,Mumbai,"Pawan Borle, SVP Fly Dubai & Others",Seed Funding,NA
328,2015,Voonik,Fashion Ecommerce store,Bangalore,"Sequoia Capital, Seedfund",Private Equity,"50,00,000"
329,2015,AdStringO,Mobile Compression Software,Mumbai,"Arihant Patni, Vishal Khare,  Viswanath Ramachandran",Seed Funding,"3,50,000"
330,2015,Faircent.com,Peer to Peer Lending platform,Gurgaon,M&S Partners Pte. Ltd,Seed Funding,"2,50,000"
331,2015,La Renon,Global Healthcare products,Ahmedabad,Sequoia Capital,Private Equity,"1,60,00,000"
332,2015,Homelane,Home Furnishing Solutions,Bangalore,Sequoia Capital,Private Equity,"5,00,00,000"
333,2015,iSTAR,Skill Training & Placement Platform,Bangalore,Unitus Seed Fund,Private Equity,NA
334,2015,Shippr,Intra-City Logistics service,Bangalore,i2india Pvt Ltd,Seed Funding,"5,00,000"
335,2015,FoodAbhi,online tiffin service aggregator,Mumbai,Group of angel investors,Seed Funding,NA
336,2015,Karma Recycling,Electronic Goods recycling service,Delhi,"Infuse Ventures, Low Carbon Enterprise Fund",Private Equity,NA
337,2015,CouponRaja,Online Coupon & comparison platform,Mumbai,"Mahesh Pratapneni, Pallab Chatterjee & others",Seed Funding,"5,00,000"
338,2015,Babychakra,Parents & Kids Online platform,Mumbai,"Mumbai Angels, Patni Family Office, Singapore Angel Network, Karan Maheshwari, Jatin Aneja, Kishor Ganji, Roopa Nath",Seed Funding,NA
339,2015,Jiffstore,Online Grocery platform,Bangalore,"Unitus Seed Fund, Times Internet",Seed Funding,NA
340,2015,MyDentist,Dental Clinic chain,Mumbai,"LGT Group, Asian Healthcare fund, Seedfund",Private Equity,"82,00,000"
341,2015,Moovo,On-Demand Logistics Service,New Delhi,YouWeCan Ventures,Seed Funding,NA
342,2015,Fracktal Works,3D Printer Manufacturer,Bangalore,Neoteric Infomatique Limited,Private Equity,"30,00,000"
343,2015,Hansa Customer Equity,IT / Customer Engagement Consulting,Mumbai,ASK Pravi,Private Equity,"50,00,000"
344,2015,HealthifyMe,Health & Fitness App,Bangalore,"Gopal Srinivasan, Sashi Reddy, Amit Gupta, Pallav Nadhani",Private Equity,NA
345,2015,CAKART.in,Online Education Marketplace,Bangalore,Sunil Maheshwari & group of investors,Seed Funding,NA
346,2015,Housejoy,Home services marketplace,Bangalore,Matrix Partners,Private Equity,"40,00,000"
347,2015,FundsIndia.com,Financial Services Platform,Chennai,"Faering Capital, Foundation Capital, Inventus Capital Partners",Private Equity,"1,10,00,000"
348,2015,Cupick,Social Network for Artists,Bangalore,Group of Angel Investors from US/India,Seed Funding,"1,20,000"
349,2015,Tracxn,Startup funding platform,Bangalore,"Sachin Bansal, Bunny Bansal & other investors",Private Equity,"1,00,00,000"
350,2015,Holachef,Food Delivery Platform,Mumbai,"Kalaari Capital, India Quotient",Private Equity,"31,00,000"
351,2015,belong,Data Driven recruitment recommendation,Bangalore,"Kunal Bahl, Rohit Bansal, Blume Ventures, Phanindra Sama, Raju Reddy",Private Equity,"50,00,000"
352,2015,Ixigo,Travel Search Engine,Gurgaon,Micromax Informatics,Private Equity,NA
353,2015,SkillAngels,Brain Games Platform,Chennai,Sprout Angels LLP,Seed Funding,NA
354,2015,Vidgyor,Video Advertisement Platform,Bangalore,AngelPrime,Seed Funding,"5,00,000"
355,2015,Banihal,Algorithmic Match Making Platform,New Delhi / California,Dr David Cheriton,Seed Funding,NA
356,2015,Goodservice,Mobile Chat based concierge service,New Delhi,Sequoia Capital,Private Equity,"16,00,000"
357,2015,Treebo,Online Budget Hotel Booking Service,Bangalore,"Matrix Partners India, SAIF Partners",Private Equity,"60,00,000"
358,2015,EduKart,Online education marketplace,New Delhi,"Holostik Group, YouWeCan Ventures, 500 Startups, Vijay Shekhar Sharma, Manish Kheterpal, Amit Patni",Private Equity,"10,00,000"
359,2015,Healthians.com,Preventive healthcare services,Hyderabad,YouWeCan Ventures,Seed Funding,NA
360,2015,LabInApp,Science Learning App,Bangalore,Unitus Seed Fund,Seed Funding,NA
361,2015,Syona Cosmetics,Beauty and Wellness platform,Chennai,Chennai Angels,Seed Funding,NA
362,2015,Sigrid Education,Online Education Platform,Noida,Oliphans Capital,Seed Funding,NA
363,2015,Indix,SaaS product intelligence platform,NA,"Nokia Growth Partners, Nexus Venture Partners, Avalon Ventures",Private Equity,"1,50,00,000"
364,2015,The Porter,Logistics Tech,Mumbai,"Sequoia Capital, Kae Capital, Anupam Mittal, Sandeep Tandon",Private Equity,"55,00,000"
365,2015,Retention.ai,App Analytics platform,Bangalore,"Mercury Fund, Anshu Sharma, Pratyush Prasanna, Robert Winters & others",Seed Funding,"5,00,000"
366,2015,Fusion Microfinance,Micro Finance Platform,New Delhi,"Development finance institution Belgian Investment Company, Oikocredit",Private Equity,"86,00,000"
367,2015,Zinka,Freight logistics platform,Bangalore,"Accel Partners, Flipkart",Private Equity,"60,00,000"
368,2015,CreditMantri,Credit Management Services,Chennai,"IDG Ventures India, Elevar Equity, Accion Venture Lab",Private Equity,"25,00,000"
369,2015,GetMyPeon,Hyperlocal Handyman Services,Mumbai,Undisclosed investors,Seed Funding,"2,50,000"
370,2015,UrbanClap,Hyperlocal services marketplace,New Delhi,"SAIF Partners,  Accel Partners",Private Equity,"1,00,00,000"
371,2015,StayGlad,Beauty services Mobile Marketplace,Bangalore,"Tracxn Labs, Sahil Barua",Seed Funding,NA
372,2015,AdWyze,Marketing / Advertising Automation platform,Bangalore,Mape Advisory,Seed Funding,"10,00,000"
373,2015,Zimmber,Hyperlocal Handyman Services,Mumbai,"Naveen Tiwari, Mohit Saxena, Amit Gupta, Piyush Shah, Manish Dugar",Seed Funding,"4,00,000"
374,2015,Buttercups,Online Lingerie platform,Bangalore,"Kanwaljit Singh, Angie Mahtaney, Manoj Varghese",Seed Funding,NA
375,2015,RailYatri,Railways Information Mobile app,Bangalore,"Helion Ventures, Omidiyar Network, Blume Ventures and Ujama",Private Equity,NA
376,2015,aagaar.com,Hyperlocal grocery delivery,Gurgaon,Group of Investors,Seed Funding,NA
377,2015,Flatchat,Flat rental Mobile App,Bangalore,Commonfloor,Private Equity,"25,00,000"
378,2015,MyCFO,Wealth Management Platform,Mumbai,Sameer Koticha,Private Equity,"15,00,000"
379,2015,Parcelled,Online Logistics Platform,Bangalore,"Delhivery, Tracxn Labs",Seed Funding,NA
380,2015,Retigence Technologies,Business IT Intelligence Services,Mumbai,Omnivore Partners,Private Equity,NA
381,2015,Cloudcherry Analytics,CRM / Analytics platform,Chennai,"The Chennai Angels, IDG Ventures India",Seed Funding,"10,00,000"
382,2015,HandyHome,Hyperlocal Electronics repair Service,Mumbai,"Bessemer Ventures, Kae Capital",Seed Funding,"6,30,000"
383,2015,iDreamCareer,Ed-Tech Platform,New Delhi,"ah! Ventures, Vivek Joshi, Mohit Satyanand & others",Seed Funding,NA
384,2015,Ola Cabs,Cab rental Mobile app,Bangalore,Ratan Tata,Private Equity,NA
385,2015,NxtGen,IT infrastructure & Data Center services,Bangalore,"IFC, Axon Partners, Intel Capital",Private Equity,"1,35,00,000"
386,2015,BankBazaar,Online Financial Services,Chennai,"Amazon, Fidelity Growth Partners, Mousse Partners",Private Equity,"6,00,00,000"
387,2015,Gozoomo,Used Car Marketplace,Bangalore,SAIF Partners,Private Equity,"50,00,000"
388,2015,Zenatix,Internet of Things platform,Gurgaon,"Rajan Anandan, Kunal Bahl, Rohit Bansal, Rahul Khanna",Seed Funding,"1,61,000"
389,2015,CultureAlley,Language Learning App,Jaipur,Tiger Global,Private Equity,"65,00,000"
390,2015,Goqii,Mobile Fitness Marketplace,Mumbai,Vijay Shekhar Sharma,Private Equity,NA
391,2015,Gingercrush,Custom Merchandize platform,Ahmedabad,"Gokul Jaykrishna, Brand Capital",Seed Funding,"10,00,000"
392,2015,Elanic,P2P Pre-owned goods marketplace,Bangalore,"Rebright Partners, Tracxn Labs, Aneesh Reddy",Seed Funding,NA
393,2015,Stitchwood,Custom Furniture Marketplace,Mumbai,"Powai Lake Ventures, Ajeet Khurana & others",Seed Funding,"3,95,000"
394,2015,Urban Tailor,Online Tailoring Services,Bangalore,Group of angel investors,Seed Funding,NA
395,2015,ConfirmtTkt,Rail Ticket Confirmation predictor,Bangalore,Pravin Agarwala & others,Seed Funding,NA
396,2015,Paper Boat,Ethnic Beverages manufacturer,Gurgaon,"Sofina, Hillhouse Capital",Private Equity,"3,00,00,000"
397,2015,getNow,Hyperlocal Goods marketplace,Nagpur,Atulya Mittal,Seed Funding,NA
398,2015,Wudstay,Budget Accommodation aggregator,Gurgaon,"Mangroves Capital Partners, Vikas Saxena",Private Equity,"30,00,000"
399,2015,Liases Foras,Real Estate Rating & Analysis,New Delhi,DMG information Asia Pacific,Private Equity,"50,00,000"
400,2015,Eatlo,Food Delivery platform,Bangalore,"Powai Lake Ventures, Globeinvestor, Abhishekh Goyal",Seed Funding,NA
401,2015,IndiaLends,Financial Tech,New Delhi,"DSG Consumer Partners, Siddharth Parekh",Private Equity,NA
402,2015,Quinto,Food Discovery App,Pune,Jaydeep Barman,Seed Funding,NA
403,2015,Saavn,Music Streaming App,Mumbai,"Tiger Global Management, Bertelsmann India, Steadview Capital, Liberty Media, Mousse Partners, Quilvest",Private Equity,"10,00,00,000"
404,2015,Flytxt,Big Data & Analytics platform,Mumbai / Global,"Sunrise Capital GmBH, Big Data Investments B.V",Private Equity,"1,10,00,000"
405,2015,Axtria,Big Data & Analytics platform,India / US,"Helion Venture Partners,Amarpreet Sawhney, Deshpande Foundation, Fred Khosravi, Richard S. Braddock",Private Equity,"3,00,00,000"
406,2015,33Coupons,Coupon Aggregator Platform,Kanpur,Not Disclosed,Seed Funding,"20,000"
407,2015,Ampere,Electric Scooter manufacturer,Coimbatore,Ratan Tata,Seed Funding,NA
408,2015,Hopping Chef,Online Food-Tech Platform,Mumbai,Mirah Hospitality,Seed Funding,"4,70,000"
409,2015,Collectabillia,Celebrity Fashion Brand,Bangalore,Accel Partners,Private Equity,"75,00,000"
410,2015,Lendingkart,Online Finance lending platform,Ahmedabad,"Saama Capital, Mayfield, Ashvin Chadha, Shailesh Mehta",Private Equity,"1,00,00,000"
411,2015,Lybrate,Healthcare Mobile App,New Delhi,"Tiger Global Management, Ratan Tata, Nexus Venture Partners",Private Equity,"1,02,00,000"
412,2015,Zoomcar,Self-driven vehicle rental,Bangalore,"Sequoia Capital, Empire Angels, NGP",Private Equity,"1,10,00,000"
413,2015,News in shorts,News Aggregator mobile app,Noida,Tiger Global,Private Equity,"2,00,00,000"
414,2015,Bluestone,Online Jewellery Store,Bangalore,"IvyCap Ventures, Accel Partners, Dragoneer Investment Group",Private Equity,"1,62,00,000"
415,2015,Shopsity,Fashion Info Aggregator App,Gurgaon,"Sandeep Aggarwal, Teruhide Sato",Seed Funding,NA
416,2015,Notesgen,Online Study Notes Marketplace,New Delhi,"Rajeev Saraf, Arvind Jha, R. Satya Narayanan",Seed Funding,NA
417,2015,Infinity Assurance,Warranty Programs Service Administration,New Delhi,Indian Angel Network,Seed Funding,"6,00,000"
418,2015,Footprints Education,Pre-School Chain,Gurgaon,"LetsVenture, Kumar Bansal, Kshitij Jain",Seed Funding,"6,85,000"
419,2015,Loylty Rewards,Premium Loyalty Rewards Point Management,Mumbai,IndianIdeas.com,Private Equity,"1,93,50,000"
420,2015,Ameyo,Contact Center Software Platform,Gurgaon,Forum Synergies PE Fund,Private Equity,"50,00,000"
421,2015,Mamagoto,Casual Dining restaurant Chain,New Delhi,Goldman Sachs,Private Equity,"1,00,00,000"
422,2015,Satvacart,Online Grocery Delivery,Gurgaon,Palaash Ventures,Seed Funding,NA
423,2015,MySmartPrice,Online comparison engine,Hyderabad,"Accel Partners, Helion Venture Partners",Private Equity,"1,00,00,000"
424,2015,Zenify,Residential Rental management platform,Bangalore,Atul Jalan,Seed Funding,NA
425,2015,Boxmyspace,Physical Storage warehouses,Mumbai,"Ritesh Veera, Singapore Angel Network, Orios Venture Partners,",Seed Funding,"3,00,000"
426,2015,HackerRank,Tech Recruitment platform,Bangalore,HR Technology fund,Private Equity,"75,00,000"
427,2015,WickedRide,Bike Rental Platform,Bangalore,Undisclosed,Seed Funding,"7,90,000"
428,2015,WoWexpress,Tech enabled logistics platform,Mumbai,Tamarind Family Private Trust,Seed Funding,"5,00,000"
429,2015,Oyo Rooms,Budget Hotel Accommodation,Gurgaon,"Softbank, Sequoia Capital",Private Equity,"10,00,00,000"
430,2015,Mobikon,Restaurant customer engagement platform,Pune,Jungle Ventures,Private Equity,"23,00,000"
431,2015,InstaLively.com,Live video streaming app,New Delhi,"Anupam Mittal, Anand Chandrasekaran, Uday Shankar, Chetan Bhagat",Seed Funding,NA
432,2015,Roadrunnr,Hyper local logistics platform,Bangalore,"Sequoia Capital, Nexus Venture Partners, Blume Ventures",Private Equity,"1,10,00,000"
433,2015,Ketto,Crowd Funding Platform,Mumbai,"Pradyumna Dalmia, Sudhir Rao & Others",Seed Funding,"7,00,000"
434,2015,QuikWallet,F&B sector Mobile Payment platform,Mumbai,Snow Leopard Technology Ventures,Private Equity,"16,00,000"
435,2015,Omnikart,Industrial Supplies B2B ecommerce,Mumbai,"Sumit Gandhi, Manish Gandhi",Seed Funding,"1,00,000"
436,2015,Zo Rooms,Online budget hotel chain,New Delhi,"Tiger Global, Orios Venture Partners.",Private Equity,"1,50,00,000"
437,2015,Innoviti,Payment Solutions platform,Bangalore,"Catamaran Ventures, New India Investment Corporation",Private Equity,"48,50,000"
438,2015,ZenRadius,Online Hiring Platform,Bangalore,"Tracxn Labs, Deepak Singh",Seed Funding,NA
439,2015,Joy by nature,Organic Food ecommerce,New Delhi,"Mumbai Angels, Vriddhi Fund, Others",Private Equity,"10,00,000"
